decile,position_center,obs_acc,plain_lo,plain_hi,clustered_lo,clustered_hi
0,0.05,0.4098360655737705,0.3594584802193498,0.45946141227933135,0.3422579887218045,0.486346994535519
1,0.15,0.4594594594594595,0.39523368606701936,0.5263157894736842,0.35896739130434785,0.5648148148148148
2,0.25,0.5952380952380952,0.5232558139534884,0.6687898089171974,0.46296296296296297,0.7096823974512146
3,0.35,0.572463768115942,0.4895067698259188,0.6557403661911858,0.39391233766233763,0.7361111111111112
4,0.45,0.4266666666666667,0.3483811230585424,0.5090965556182946,0.3333333333333333,0.5378787878787878
5,0.55,0.3872549019607843,0.3209283671185176,0.45652696488294303,0.26515151515151514,0.5450552825552823
6,0.65,0.3793103448275862,0.30864197530864196,0.4491041980210701,0.26983543417366945,0.49404761904761907
7,0.75,0.3763440860215054,0.30840442295153225,0.4476204318936877,0.2324483082706767,0.5252622377622377
8,0.85,0.45121951219512196,0.38812615007156,0.5122976222734046,0.34693197278911564,0.5729456018518514
9,0.95,0.4649122807017544,0.4110787172011662,0.5198949848922753,0.3619744029471545,0.5666666666666667
